title,h1
How do you pronounce {dplyr}? - rostrum.blog,"How do you pronounce {dplyr}?,Deep liar,Speak the truth,Results"
The Carpentries: teach with live coding - rostrum.blog,"The Carpentries: teach with live coding,Carving new coders,Whittling down the complexity,Say what you saw,Hammer it home,I axe one thing of you"
